	"id" "name" "created_at" "updated_at" "slug" "url"
"1" 1 "Star Wars" 1301132282000 1323289212000 "star-wars" "https://www.igdb.com/franchises/star-wars"
"2" 2 "Indiana Jones" 1301133404000 1323289212000 "indiana-jones" "https://www.igdb.com/franchises/indiana-jones"
"3" 3 "Conan" 1301299735000 1323289212000 "conan" "https://www.igdb.com/franchises/conan"
"4" 4 "Final Fantasy" 1301495590000 1323289212000 "final-fantasy" "https://www.igdb.com/franchises/final-fantasy"
"5" 5 "Batman" 1301514188000 1323289212000 "batman" "https://www.igdb.com/franchises/batman"
"6" 6 "Warhammer 40,000" 1301998703000 1323289212000 "warhammer-40-000" "https://www.igdb.com/franchises/warhammer-40-000"
"7" 7 "Transformers" 1317714192000 1323289212000 "transformers" "https://www.igdb.com/franchises/transformers"
"8" 8 "Ghostbusters" 1317738666000 1323289212000 "ghostbusters" "https://www.igdb.com/franchises/ghostbusters"
"9" 9 "Tom Clancy" 1317799488000 1323289212000 "tom-clancy" "https://www.igdb.com/franchises/tom-clancy"
"10" 10 "Sid Meier" 1317799909000 1323289212000 "sid-meier" "https://www.igdb.com/franchises/sid-meier"
"11" 11 "The Lord of the Rings" 1318034617000 1323289212000 "the-lord-of-the-rings" "https://www.igdb.com/franchises/the-lord-of-the-rings"
"12" 12 "Command & Conquer" 1318164222000 1323289212000 "command-conquer" "https://www.igdb.com/franchises/command-conquer"
"13" 13 "BattleTech" 1318414962000 1323289212000 "battletech" "https://www.igdb.com/franchises/battletech"
"14" 14 "MechWarrior" 1318415115000 1323289212000 "mechwarrior" "https://www.igdb.com/franchises/mechwarrior"
"15" 15 "NASCAR" 1318786259000 1323289212000 "nascar" "https://www.igdb.com/franchises/nascar"
"16" 16 "NBA" 1318786536000 1323289212000 "nba" "https://www.igdb.com/franchises/nba"
"17" 18 "Star Trek" 1321382936000 1323289212000 "star-trek" "https://www.igdb.com/franchises/star-trek"
"18" 19 "Matrix" 1322595520000 1323289212000 "matrix" "https://www.igdb.com/franchises/matrix"
"19" 20 "Beneath a Steel Sky" 1322653153000 1323289212000 "beneath-a-steel-sky" "https://www.igdb.com/franchises/beneath-a-steel-sky"
"20" 21 "BloodRayne" 1326045134414 1326045134414 "bloodrayne" "https://www.igdb.com/franchises/bloodrayne"
"21" 22 "Worms" 1326046782791 1326046782791 "worms" "https://www.igdb.com/franchises/worms"
"22" 23 "Alien" 1326204891000 1326204891000 "alien" "https://www.igdb.com/franchises/alien"
"23" 24 "Mario Bros." 1339334809730 1339334809730 "mario-bros" "https://www.igdb.com/franchises/mario-bros"
"24" 25 "Men of War" 1340902131605 1340902131605 "men-of-war" "https://www.igdb.com/franchises/men-of-war"
"25" 26 "Disney" 1341175224960 1341175224960 "disney" "https://www.igdb.com/franchises/disney"
"26" 27 "Jason Bourne" 1342908032562 1342908032562 "jason-bourne" "https://www.igdb.com/franchises/jason-bourne"
"27" 28 "South Park" 1342990578446 1342990578446 "south-park" "https://www.igdb.com/franchises/south-park"
"28" 29 "Resident Evil" 1346600556558 1346600556558 "resident-evil" "https://www.igdb.com/franchises/resident-evil"
"29" 32 "Tex Murphy" 1347385286275 1347385286275 "tex-murphy" "https://www.igdb.com/franchises/tex-murphy"
"30" 34 "Robin Hood" 1348356402043 1348356402043 "robin-hood" "https://www.igdb.com/franchises/robin-hood"
"31" 35 "Mickey Mouse" 1349722899184 1349722899184 "mickey-mouse" "https://www.igdb.com/franchises/mickey-mouse"
